DATE,IPGMFN
2003-06-01,95.9516
2003-07-01,89.1321
2003-08-01,94.5933
2003-09-01,96.4597
2003-10-01,96.1279
2003-11-01,95.5817
2003-12-01,93.3815
2004-01-01,92.3332
2004-02-01,95.6692
2004-03-01,97.2363
2004-04-01,95.5979
2004-05-01,97.1548
2004-06-01,98.7572
2004-07-01,93.4899
2004-08-01,98.5444
2004-09-01,99.1493
2004-10-01,100.1922
2004-11-01,98.5451
2004-12-01,97.3699
2005-01-01,97.4927
2005-02-01,100.0924
2005-03-01,100.9290
2005-04-01,100.9418
2005-05-01,101.2643
2005-06-01,103.9708
2005-07-01,97.7445
2005-08-01,102.6477
2005-09-01,102.3902
2005-10-01,103.4403
2005-11-01,102.5543
2005-12-01,101.0309
2006-01-01,100.7870
2006-02-01,102.3797
2006-03-01,104.2850
2006-04-01,102.4607
2006-05-01,103.8136
2006-06-01,106.7264
2006-07-01,100.9352
2006-08-01,105.8802
2006-09-01,106.7378
2006-10-01,105.7428
2006-11-01,104.1720
2006-12-01,104.1168
2007-01-01,102.3336
2007-02-01,104.3965
2007-03-01,107.4975
2007-04-01,106.7879
2007-05-01,107.7043
2007-06-01,110.5147
2007-07-01,105.1219
2007-08-01,109.1432
2007-09-01,110.3108
2007-10-01,109.2323
2007-11-01,108.3067
2007-12-01,106.6777
2008-01-01,105.2711
2008-02-01,105.9440
2008-03-01,107.3144
2008-04-01,106.0929
2008-05-01,105.5442
2008-06-01,107.2985
2008-07-01,101.5209
2008-08-01,103.5787
2008-09-01,100.6143
2008-10-01,99.2609
2008-11-01,95.5781
2008-12-01,91.1466
2009-01-01,87.2866
2009-02-01,88.2728
2009-03-01,88.3066
2009-04-01,86.3800
2009-05-01,86.6306
2009-06-01,88.0663
2009-07-01,86.1029
2009-08-01,89.7880
2009-09-01,90.4830
2009-10-01,90.7004
2009-11-01,90.3345
2009-12-01,88.8596
2010-01-01,89.2331
2010-02-01,90.2724
2010-03-01,93.3445
2010-04-01,93.2268
2010-05-01,94.9557
2010-06-01,96.8567
2010-07-01,93.0727
2010-08-01,96.4377
2010-09-01,96.6091
2010-10-01,96.5404
2010-11-01,94.9820
2010-12-01,94.2728
2011-01-01,93.9843
2011-02-01,94.9589
2011-03-01,97.6809
2011-04-01,96.0552
2011-05-01,96.6040
2011-06-01,98.8343
2011-07-01,95.5253
2011-08-01,98.6564
2011-09-01,99.3462
2011-10-01,99.4512
2011-11-01,97.7534
2011-12-01,97.3943
2012-01-01,97.4916
2012-02-01,99.0874
2012-03-01,100.5300
2012-04-01,99.8623
2012-05-01,100.0743
2012-06-01,102.4639
2012-07-01,98.2357
2012-08-01,101.1059
2012-09-01,101.3494
2012-10-01,100.5445
2012-11-01,99.8054
2012-12-01,99.4498
2013-01-01,98.6256
2013-02-01,100.2026
2013-03-01,101.4856
2013-04-01,101.2024
2013-05-01,101.2630
2013-06-01,103.4593
2013-07-01,98.6821
2013-08-01,102.5216
2013-09-01,102.5946
2013-10-01,102.5092
2013-11-01,101.0807
2013-12-01,99.5985
2014-01-01,98.0357
2014-02-01,100.4001
2014-03-01,103.0295
2014-04-01,102.1085
2014-05-01,102.5826
2014-06-01,104.8792
2014-07-01,100.6934
2014-08-01,103.9823
2014-09-01,104.0241
2014-10-01,103.7219
2014-11-01,103.0877
2014-12-01,101.4529
2015-01-01,100.2479
2015-02-01,101.1826
2015-03-01,103.1679
2015-04-01,102.2289
2015-05-01,102.4963
2015-06-01,103.8599
2015-07-01,100.3290
2015-08-01,103.3734
2015-09-01,102.2626
2015-10-01,102.8929
2015-11-01,101.2322
2015-12-01,99.3566
2016-01-01,99.3452
2016-02-01,100.3540
2016-03-01,101.0894
2016-04-01,101.2899
2016-05-01,100.8016
2016-06-01,102.9834
2016-07-01,99.0068
2016-08-01,101.9189
2016-09-01,102.1887
2016-10-01,102.8837
2016-11-01,101.4167
2016-12-01,100.3035
2017-01-01,100.1012
2017-02-01,101.7033
2017-03-01,102.9425
2017-04-01,102.6036
2017-05-01,103.5469
2017-06-01,105.4931
2017-07-01,101.4125
2017-08-01,104.1295
2017-09-01,103.7343
2017-10-01,105.5815
2017-11-01,104.3294
2017-12-01,102.8589
2018-01-01,101.6564
2018-02-01,104.3777
2018-03-01,105.7514
2018-04-01,106.2970
2018-05-01,105.2610
2018-06-01,107.9301
2018-07-01,104.4407
2018-08-01,108.0316
2018-09-01,107.7793
2018-10-01,107.9960
2018-11-01,106.4695
2018-12-01,105.4928
2019-01-01,104.3344
2019-02-01,105.5248
2019-03-01,106.9066
2019-04-01,105.6841
2019-05-01,105.7006
2019-06-01,108.1536
2019-07-01,103.7703
2019-08-01,107.6821
2019-09-01,106.6617
2019-10-01,106.2933
2019-11-01,105.8044
2019-12-01,104.4191
2020-01-01,103.5684
